{}
2026-09-11 14:28:48 UTC,49991.75,8.25,50000.00,0.00,0.00,0.00,0.00,50000.00
2026-09-11 14:44:46 UTC,49742.80,8.25,49751.05,-248.95,0.00,0.00,0.00,49751.05
2026-09-11 15:14:58 UTC,49992.44,4.66,49997.10,41.22,-32.03,12.09,10.72,49986.38
2026-09-11 15:46:48 UTC,49934.95,4.66,49939.60,-16.27,-32.03,12.09,0.00,49939.60
2026-09-11 17:58:45 UTC,46352.40,5.48,46357.87,-2890.91,-739.13,12.09,0.00,46357.87
2026-09-11 18:56:40 UTC,46206.22,7.47,46213.70,-1327.63,-2446.59,12.09,0.00,46213.70
2026-09-11 22:11:06 UTC,46704.45,7.47,46711.92,-829.40,-2446.59,12.09,0.00,46711.92
2026-09-12 02:52:57 UTC,46704.45,7.47,46711.92,-829.40,-2446.59,12.09,0.00,46711.92
2026-09-12 08:19:33 UTC,46704.45,7.47,46711.92,-829.40,-2446.59,12.09,0.00,46711.92
2026-09-12 14:54:13 UTC,46705.91,7.47,46713.38,-827.94,-2446.59,12.09,0.00,46713.38
2026-09-12 18:02:47 UTC,46705.91,7.47,46713.38,-827.94,-2446.59,12.09,0.00,46713.38
2026-09-12 21:54:26 UTC,46705.91,7.47,46713.38,-827.94,-2446.59,12.09,0.00,46713.38
2026-09-13 02:51:29 UTC,46705.91,7.47,46713.38,-827.94,-2446.59,12.09,0.00,46713.38
2026-09-13 07:43:26 UTC,46684.56,7.47,46692.03,-849.29,-2446.59,12.09,0.00,46692.03
2026-09-13 08:05:21 UTC,41815.45,4.26,41819.70,-4827.01,-3341.19,12.09,0.00,41819.70
2026-09-13 08:45:31 UTC,41815.45,4.26,41819.70,-4827.01,-3341.19,12.09,0.00,41819.70
2026-09-13 15:31:19 UTC,41815.45,4.26,41819.70,-4827.01,-3341.19,12.09,0.00,41819.70
2026-09-13 18:30:08 UTC,41815.45,4.26,41819.70,-4827.01,-3341.19,12.09,0.00,41819.70
2026-09-13 22:03:04 UTC,41815.45,4.26,41819.70,-4827.01,-3341.19,12.09,0.00,41819.70
2026-09-14 03:05:39 UTC,41888.21,4.26,41892.47,-4754.25,-3341.19,12.09,0.00,41892.47
2026-09-14 09:30:47 UTC,42014.34,4.26,42018.60,-4628.12,-3341.19,12.09,0.00,42018.60
2026-09-14 17:32:44 UTC,40392.53,1.33,40393.86,-2073.98,-7520.07,12.09,0.00,40393.86
2026-09-14 22:55:13 UTC,40266.62,1.33,40267.95,-2199.89,-7520.07,12.09,0.00,40267.95
2026-09-15 03:07:43 UTC,40303.85,1.33,40305.17,-2162.67,-7520.07,12.09,0.00,40305.17
2026-09-15 09:09:07 UTC,40316.22,3.82,40320.05,-2158.42,-7505.71,15.82,0.00,40320.05
2026-09-15 16:07:56 UTC,39683.76,2.41,39686.17,-2469.16,-7828.84,15.82,0.00,39686.17
2026-09-15 22:40:47 UTC,39787.68,4.33,39792.01,-2274.02,-7918.14,15.82,0.00,39792.01
2026-09-16 03:04:15 UTC,39787.68,4.33,39792.01,-2274.02,-7918.14,15.82,0.00,39792.01
2026-09-16 09:01:33 UTC,39796.87,4.33,39801.20,-2264.84,-7918.14,15.82,0.00,39801.20
2026-09-16 16:00:46 UTC,39845.52,3.27,39848.78,-2011.86,-8113.28,26.08,0.00,39848.78
2026-09-16 22:36:47 UTC,39740.90,6.07,39746.97,-2184.30,-8017.84,50.90,0.00,39746.97
2026-09-17 03:08:11 UTC,39768.25,6.07,39774.32,-2156.95,-8017.84,50.90,0.00,39774.32
2026-09-17 09:07:58 UTC,39708.99,6.07,39715.06,-2216.21,-8017.84,50.90,0.00,39715.06
2026-09-17 16:07:49 UTC,41985.23,2.48,41987.71,-54.52,-7867.88,89.88,0.00,41987.71
2026-09-17 22:37:01 UTC,42015.43,2.48,42017.91,-24.32,-7867.88,89.88,0.00,42017.91
